Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Explainable Boosting Machine,0.8157894736842105,0.8292682926829268,0.8292682926829268,0.8292682926829268,0.8912891986062718
Gaussian Naive Bayes,0.8026315789473685,0.8421052631578947,0.7804878048780488,0.810126582278481,0.8801393728222996
Logistic Regression,0.8157894736842105,0.7872340425531915,0.9024390243902439,0.8409090909090909,0.8794425087108014
Categorical Boosting,0.8157894736842105,0.8,0.8780487804878049,0.8372093023255814,0.8759581881533102
Xtreme Gradient Boosting,0.7631578947368421,0.7674418604651163,0.8048780487804879,0.7857142857142857,0.8536585365853658
